1016485,AAOI,2026-01-08 21:45:05.180,SwingFilter,Hold,Volatility too high (11.21%) - excessive risk,2026-01-08 21:45:05.580
1016486,AA,2026-01-08 05:00:00.000,RelaxedEngine,Hold,REJECT - Insufficient confirmations,2026-01-08 21:45:05.657
1016487,A,2026-01-08 05:00:00.000,RelaxedEngine,Hold,REJECT - Insufficient confirmations,2026-01-08 21:45:05.707
1016488,AA,2026-01-08 21:45:05.363,TrendMTF,Hold,0.00|No clear trend setup,2026-01-08 21:45:05.760
1016489,AAON,2026-01-08 21:45:05.180,SwingFilter,Hold,No clear weekly trend direction,2026-01-08 21:45:05.777
1016490,AA,2026-01-08 21:45:05.463,MeanRevSR,Hold,0.00|Strong trend - avoid mean reversion,2026-01-08 21:45:05.817
1016491,AA,2026-01-08 21:45:05.520,BreakoutVol,Hold,0.00|No breakout pattern (ADX=51.2),2026-01-08 21:45:05.883
1016492,AA,2026-01-08 21:45:05.577,MomentumDiv,Hold,0.00|Indicators not ready,2026-01-08 21:45:05.937
1016493,AA,2026-01-08 21:45:05.627,EMA+RSI,Hold,0.00|No EMA crossover,2026-01-08 21:45:05.993
1016494,A,2026-01-08 21:45:05.413,TrendMTF,Hold,0.00|No clear trend setup,2026-01-08 21:45:06.013
1016495,AA,2026-01-08 21:45:05.683,Bollinger,Sell,0.68|Bollinger mean reversion sell (RSI=74.5),2026-01-08 21:45:06.050
1016496,A,2026-01-08 21:45:05.707,MeanRevSR,Hold,"0.00|No mean reversion setup (RSI=50.0, regime=Quiet Market)",2026-01-08 21:45:06.070
1016497,AA,2026-01-08 21:45:05.743,ATR,Hold,0.00|No ATR breakout,2026-01-08 21:45:06.103
1016498,A,2026-01-08 21:45:05.763,BreakoutVol,Hold,0.00|No breakout pattern (ADX=24.1),2026-01-08 21:45:06.130
1016499,AA,2026-01-08 21:45:05.797,MACD,Hold,0.00|No MACD signal,2026-01-08 21:45:06.160
1016500,A,2026-01-08 21:45:05.820,MomentumDiv,Hold,0.00|Indicators not ready,2026-01-08 21:45:06.183
1016501,AA,2026-01-08 21:45:05.853,ADX,Buy,0.85|ADX strong trend ? (ADX=51.2),2026-01-08 21:45:06.217
1016502,A,2026-01-08 21:45:05.877,EMA+RSI,Hold,0.00|EMA buy rejected: EMAs too close (0.19%),2026-01-08 21:45:06.240
1016503,AA,2026-01-08 21:45:05.907,Volume,Sell,0.85|Volume spike 1.9x with downward momentum,2026-01-08 21:45:06.270
1016504,ABBV,2026-01-08 21:45:05.913,SwingFilter,Hold,Weekly trend too weak (1.1%),2026-01-08 21:45:06.277
1016505,AA,2026-01-08 21:45:05.970,Donchian,Hold,"0.00|Price within channel ($61.09, U=$65.01, L=$42.32)",2026-01-08 21:45:06.337
